time,a1,a2,a3,a4,s1
2,0,1,2,1,0
3,1,1,2,1,0
4,0,1,1,1,0
2,1,1,1,1,0
5,0,1,2,1,0
2,0,0,1,2,0
4,0,1,1,2,0
2,0,1,1,1,0
2,0,1,1,1,0
2,0,1,1,1,0
2,0,1,2,1,0
2,0,1,1,1,0
4,0,1,1,1,0
2,0,1,1,1,0
3,1,1,1,1,0
2,1,1,1,2,0
4,0,1,0,1,0
2,0,1,1,1,0
3,0,1,1,1,0
2,0,1,1,1,1
2,0,1,1,1,1
0,1,1,1,0,0
0,1,1,1,0,0
0,1,1,1,0,0
0,1,1,1,0,0
0,1,1,1,0,0
0,1,1,1,0,0
0,1,1,1,0,0
0,1,1,1,0,0
0,1,1,1,0,0
0,1,1,1,0,0
0,1,1,1,0,0
0,1,1,1,0,0
0,1,1,1,0,0
0,1,1,1,0,0
0,1,1,1,0,0
0,1,1,1,0,0
0,1,1,1,0,0
0,1,1,1,0,0
0,1,1,1,0,0
0,1,1,1,0,0
0,1,1,1,0,0
0,1,1,1,0,0
0,1,1,1,0,0
0,1,1,1,0,0
0,1,1,1,0,0
